@relation bolasso

@attribute r1 numeric
@attribute r2 numeric
@attribute r3 numeric
@attribute r4 numeric
@attribute r5 numeric
@attribute r6 numeric
@attribute r7 numeric
@attribute r8 numeric
@attribute nr9 numeric
@attribute nr10 numeric
@attribute nr11 numeric
@attribute nr12 numeric
@attribute nr13 numeric
@attribute nr14 numeric
@attribute nr15 numeric
@attribute nr16 numeric
@attribute target numeric

@data
1.240755,1.449823,1.491842,-0.37001,-0.583791,-0.179898,0.053702,1.444952,-0.893744,0.465857,0.777743,-1.564345,1.101275,-0.598288,-0.394717,-1.77244,0.118553
0.908378,-0.021071,1.112452,-0.815603,1.242314,-0.078106,0.616898,1.24269,-0.684661,0.800636,-0.351754,-0.518689,-0.210303,-1.458457,-0.217313,-0.790713,-0.059161
0.764072,0.255756,1.650731,0.660817,-0.092752,2.523299,-1.47819,-0.034639,1.00178,0.175407,0.600893,-0.006848,0.43147,-0.977022,1.142614,0.472952,0.742952
0.586123,0.578036,1.518712,0.401402,-0.384362,2.1859,0.123555,0.517982,-0.389945,0.1544,0.060093,0.125024,0.711741,-1.581489,0.04479,-0.246429,0.495701
1.435558,-1.724106,-0.143579,-0.743333,-0.362218,-2.265119,0.468722,-2.168352,-0.125473,-1.593515,-1.073962,-0.86742,-0.922143,0.618643,-1.24401,0.623183,0.436627
-2.146985,-0.853469,-1.601052,-0.507928,-0.287251,-1.329503,0.609658,-0.96582,1.238482,-0.098494,0.454674,1.539013,1.27907,1.08759,1.233551,0.743263,-0.88785
-0.628517,-0.002946,-1.914024,-0.307672,0.609381,-1.189299,0.393335,1.454687,0.298163,0.747818,0.403842,-1.014,0.009582,-0.185732,0.349119,-0.291702,-0.259275
-1.833979,0.233244,0.283627,1.645729,-0.366077,1.606486,-0.185311,-0.034803,0.279289,-0.250622,-0.401596,1.304866,-0.335142,1.484722,-0.514759,0.249164,-0.603635
0.049135,-0.690464,0.212485,-0.492918,-0.592488,0.239821,0.948152,-1.144687,0.146035,-0.246797,-1.368991,1.534245,-0.795355,0.619559,-1.351812,-0.067534,0.066082
-1.229526,0.853099,0.721444,-0.216625,-0.112327,1.24377,0.457622,1.759508,-0.004974,1.413768,-0.205346,-0.533871,0.741819,-0.073246,-0.213591,-1.032218,-0.858581
0.91562,0.853142,-1.207344,0.933902,-1.86,-1.714376,1.40362,-0.479889,-0.903337,-0.494561,1.054759,-0.200592,-1.331288,0.490467,-0.905567,1.078569,0.57343
-1.259996,0.563846,-0.497684,0.523358,0.61329,-0.251913,2.604289,1.524512,-0.677733,0.330412,-0.307631,0.884863,-0.053669,1.24479,-1.109522,-0.594721,-0.844959
-0.274786,-0.148182,2.463093,-1.483019,1.386912,0.919626,0.477968,0.071833,0.783863,0.680723,-1.402178,0.049085,0.607391,-0.735892,0.624515,-1.869328,-0.884715
0.590067,-0.922002,1.064464,0.913816,-0.52912,-0.61746,-0.048665,-0.689167,0.336947,-0.821767,0.134775,-0.751896,-0.891418,0.34329,-0.719859,1.921903,0.061392
-1.412264,1.766221,-0.810441,-0.484195,0.775681,0.407912,1.556507,0.981457,-1.267026,0.48571,-0.6723,-0.785459,-0.708688,1.561896,-1.611727,-0.52488,-0.828743
0.531241,-0.470843,0.598125,-0.697391,1.47694,-0.417275,-0.675319,0.549121,-0.423211,0.881863,0.523229,-0.445967,-0.378124,-0.785662,1.580125,0.120498,-0.07927
-2.630352,1.890248,-1.63841,1.460191,-0.951692,0.868304,0.280996,-0.118618,0.582086,0.131118,1.002265,1.144843,-0.287205,1.767884,0.194008,0.019694,-0.809545
-2.090531,1.219511,-0.85645,0.77297,-1.056621,-0.673434,1.875975,-0.913156,-0.063543,-1.128149,0.807071,0.637158,0.769816,1.526501,-1.163793,-0.26221,-1.053131
-1.567967,1.379031,0.616628,-1.493652,0.614151,1.123964,0.13627,-0.134381,0.46271,1.586927,0.918715,0.154758,-0.785691,-0.203791,0.466066,-1.104046,-1.116236
1.189309,-1.492711,0.437786,-0.131082,0.790023,1.791863,-0.95321,0.997302,-0.409941,0.442071,-1.247336,1.007632,0.840893,-2.32071,0.475683,0.180586,1.125545
0.690958,0.655892,0.49731,2.058123,-0.021711,2.037871,-1.520491,0.047188,-0.672143,-1.002358,1.068318,-0.289364,0.195285,0.101,1.100361,-0.37325,0.979228
0.296358,-1.04102,0.46357,0.706591,1.358698,0.021328,0.174478,0.464537,-0.499261,-1.025935,-0.819806,-0.638505,0.292567,0.473545,-0.645992,-0.154857,0.073445
1.932035,-0.460813,0.367404,0.044917,-0.083536,-0.087421,-1.07291,-1.136601,-0.449921,-0.855051,0.609059,-0.594092,-0.067682,-1.925829,1.106445,-0.537403,1.205914
0.369674,0.665758,0.619258,-0.396698,-0.620706,0.669231,-0.863414,0.823404,1.300647,2.083897,0.034947,1.18846,-2.067696,-0.196247,-1.472164,0.841505,0.099164
1.747837,0.193382,-0.823966,0.720334,-0.242991,-0.748683,1.095805,0.953788,0.017396,-0.965242,0.381269,-0.603531,1.112883,-1.269153,-0.25111,-0.0287,1.028499
0.159383,-0.73414,-0.523116,-0.139136,-0.100166,-0.648843,-0.393982,0.797213,-0.812534,0.541208,0.371979,-0.101577,0.467559,-0.625637,0.392971,0.495493,0.167072
-0.200081,0.03421,0.179435,-2.247375,0.330166,-1.256531,-1.44023,-1.117772,0.537923,1.842483,1.796759,-0.696853,-1.488452,-0.075923,2.119536,1.088241,-0.570098
-1.097461,-0.623832,0.428106,0.483564,-0.026403,-0.846759,0.615986,0.518738,1.074205,0.074534,0.133572,1.172192,0.717401,1.838544,-0.458732,0.117984,-0.91318
-1.021741,2.304751,-0.617796,-0.688561,3.236075,1.022645,2.859337,2.8839,-1.233264,0.732529,-0.740244,-0.559609,-0.311609,1.411789,-0.780773,-1.611872,-0.90427
-0.569437,-1.895882,0.809316,0.583295,0.284984,0.148681,-0.275206,0.399076,1.092343,0.074886,-1.521176,0.984947,0.414937,0.355159,0.045113,0.479322,-0.381078
2.06496,1.215436,1.121544,-0.470358,2.528181,-0.328894,0.887347,1.904595,-0.897427,-0.646106,-0.324702,-0.81064,0.747123,1.084331,-0.864475,-0.588078,0.330293
-0.024533,-0.371637,-0.214953,-0.34125,0.756723,-0.786328,0.077045,0.079958,0.424223,0.129928,-0.461036,-0.445312,-0.956989,0.560573,-0.149726,0.840165,-0.250438
0.175646,0.864179,0.464267,0.292889,-0.372295,1.553709,-0.615591,-2.144446,0.081243,-0.185984,1.233336,0.418399,-1.503248,-0.198273,1.792335,0.786001,0.527416
-0.888512,0.977309,-0.576165,-0.556324,-0.467289,-0.165629,0.23003,0.144699,0.813476,0.682161,-0.30679,-0.003061,-1.034229,1.832179,-1.577502,0.322128,-0.603027
-0.917763,-0.316607,-2.41411,0.916625,-1.783523,-0.431741,0.0249,-1.306103,-0.669528,-1.044837,0.281712,0.358658,0.427391,0.184836,-0.071728,1.121172,0.273963
-0.948566,-1.01189,0.126525,0.084143,0.632321,-0.845203,-0.54361,0.20655,0.958594,0.656483,1.429206,0.562457,0.138575,1.206557,1.671086,0.339585,-0.704151
-0.664042,-0.358111,-0.182896,0.385971,-0.108874,0.164221,0.555197,0.337469,1.91397,0.390241,-0.585288,2.033187,-0.297555,1.003245,-1.072312,0.148409,-0.200579
0.025353,-0.469721,-1.048966,-0.296589,-2.21323,-2.253253,0.377158,-2.42346,-0.179084,-0.360413,1.646838,0.091513,-0.679791,-0.492163,-0.058563,0.734758,0.001138
0.056499,-1.261629,-1.44825,-0.036907,-1.40201,-2.159961,-0.810099,-1.275714,1.036319,0.432739,0.50029,1.315372,-1.882729,0.056912,-0.483938,1.22256,0.24072
1.158248,0.05018,-1.588402,-0.280454,-0.02452,-1.106666,0.905443,1.015372,-2.988017,-0.62582,-1.486617,-2.421867,-0.289249,1.098188,-1.882819,-1.421616,0.741319
0.458506,1.490947,0.540937,-0.175682,-0.370425,1.387207,-1.192283,0.0562,-1.022529,0.612629,0.394015,-0.330941,-0.399257,-1.033112,0.564118,-0.87503,0.412655
-0.701828,-0.003233,-0.869913,-0.248526,-0.742176,-0.222174,-0.134095,-0.672739,-1.070822,-0.264799,0.510836,0.312553,0.426652,0.238311,-0.013604,-1.27506,-0.087497
0.796434,0.571451,1.427629,0.666373,-0.056265,0.099379,0.528582,-0.063928,1.711708,-0.107276,-0.184521,1.824199,-0.394405,0.948388,0.033175,-1.222773,0.03157
0.827861,-0.923333,1.246776,0.395757,2.097024,1.068889,-1.711915,0.767561,0.433026,-0.364014,0.346276,-0.659234,1.161262,-0.989337,1.683551,0.086421,0.394496
-1.197045,0.250797,-0.444782,-2.150555,0.826498,-1.419627,0.163062,-0.182408,0.250852,1.54834,1.305631,-0.028691,-1.307807,0.794502,-0.434603,1.875126,-1.099919
-0.908918,0.379817,-0.843437,-0.825625,0.049089,-0.232778,-0.018043,0.614584,-0.453731,0.876902,-0.294919,-0.499112,-0.622717,0.684044,-0.674589,0.157262,-0.499852
0.093525,0.770523,0.105519,-0.539684,1.853464,-0.249976,0.831036,1.138992,-1.357474,-0.194354,-0.618697,-1.433231,-0.170559,0.857314,-0.569041,-1.622559,-0.150223
1.264803,-0.119697,0.3631,-1.355119,1.414377,-1.44568,0.800533,-0.246066,-0.640791,-0.694392,-1.076001,-1.094294,-0.066839,0.344291,-1.301267,-1.26389,0.006817
-1.196517,0.019735,-1.0095,-0.415751,-0.815702,-0.745894,2.131133,-1.280914,0.43718,-0.558435,-1.197573,1.821802,0.380172,0.329368,-0.767916,0.406961,-0.610761
-1.873897,0.877648,1.331519,0.44124,0.718367,3.128792,-1.064425,0.70593,0.899157,0.886708,-1.227348,1.089546,-0.141403,1.935805,-0.347416,-0.045841,-0.803556
0.357328,1.116198,-1.027829,-0.776978,0.371996,-1.402934,1.958717,1.117639,-1.765665,0.313771,1.054216,-0.815142,0.363012,-0.105412,-0.987368,-0.431139,-0.115416
0.850556,1.118137,-0.190226,0.228734,-0.580013,-0.032065,0.997845,1.05135,-1.418305,-0.510399,-0.113101,-1.356216,0.814293,-1.279582,-1.946001,-0.15204,0.428597
2.159251,-1.367711,-0.139762,-0.862734,0.707446,-1.670266,1.226891,-0.162323,-0.182322,-0.802412,-0.814158,-0.656754,-0.266716,-1.302844,-0.903242,1.040383,0.750962
-0.604142,0.35017,0.414413,-1.34051,-0.588705,-0.638775,0.229301,-0.603424,1.685016,1.490402,-0.565216,0.216646,-1.769775,0.995256,-0.31895,0.173034,-0.80405
0.069254,1.003028,-0.081893,-1.50776,0.203179,0.040073,0.580191,-0.60528,-2.349648,-0.67433,-0.826854,-2.544707,1.02978,-0.56485,-0.656194,-0.888861,-0.290987
-0.829817,0.71069,-0.723299,-0.11042,0.266739,-0.516682,0.754615,-0.414987,-0.707028,-0.632246,0.41986,-0.36142,0.675825,1.00597,-0.403529,-0.307877,-0.431124
1.712951,-0.99965,1.798017,0.48459,-0.007523,1.207022,-1.968313,-0.494744,1.085604,0.259217,0.775672,1.033121,-0.464773,-1.501282,1.415323,1.027222,1.108388
1.18991,-0.439899,1.23927,1.075734,-0.22254,0.393831,-0.6091,0.612907,0.667452,0.491799,0.162753,0.368048,-1.246584,-0.448612,0.301623,0.552852,0.644279
1.12018,-0.589245,-0.196306,-0.194715,0.570379,0.040195,0.072277,0.781392,0.070625,-0.009823,-0.458811,0.063786,-0.104781,0.032945,-0.664755,0.185295,0.674086
-0.209288,-0.844248,-0.639828,-1.324001,0.219466,-0.727101,0.154801,1.036316,-0.852048,1.485894,-0.379037,0.912703,0.019391,-0.807035,-0.245181,0.042711,-0.256749
0.640588,0.581414,-0.298421,0.947597,-0.495078,0.952963,-0.282496,0.693478,-1.617342,-0.201106,0.344935,-0.789676,-0.292448,-0.299778,-0.830812,-0.064694,0.75161
0.884109,-0.906401,0.040801,-0.142371,1.24507,0.288303,-0.253649,1.138893,0.87159,0.277142,-2.194321,0.475417,-1.37805,1.577412,-2.080279,0.834363,0.490672
0.403939,0.853667,-1.820762,1.056253,-1.728858,-1.27132,0.25214,-0.91956,-1.744275,-1.574672,1.317375,-1.440083,0.973073,-0.316445,0.711379,-0.646966,0.626551
1.137756,-1.13909,-1.051515,-0.158362,-0.528516,-0.209886,-0.770739,-0.852569,-0.456496,-0.732517,-0.430764,-0.40685,-0.055841,-0.223599,0.04143,1.025753,1.04495
-1.008441,0.886376,-1.484368,-0.626692,0.132741,-0.538336,1.423977,0.663924,0.566268,0.297342,1.185126,0.337774,0.717698,-0.175628,-0.682301,0.6864,-0.549923
-0.233117,-1.232498,0.225897,0.220725,-0.281155,1.139719,-1.470311,0.112399,0.416506,0.688433,-0.59203,-0.011393,-0.335729,-0.644611,0.508466,2.132546,0.240291
1.489176,-1.920668,1.184931,-0.204011,-1.017927,-0.732374,-1.139441,-1.778322,1.560834,-0.752962,-0.468607,0.953298,0.972119,-1.249005,1.064099,-1.31018,0.675304
2.363258,-1.230481,1.570496,1.110919,0.805901,-0.537283,0.561945,-0.392831,-1.715332,-3.032655,-1.127007,-2.918261,1.597934,-0.740414,-0.185227,-0.980567,0.960339
0.219723,-0.217069,-0.377584,0.688854,-1.737471,-1.427338,-0.923421,-1.144299,1.234341,0.086718,2.201767,-0.313521,-0.177865,-0.949234,1.798585,0.682681,0.228335
-0.604565,0.124381,1.494707,-0.911411,0.14343,0.506811,0.444209,1.438112,1.662135,1.883114,-0.065553,0.369257,0.059779,-0.717381,-0.151714,1.004292,-0.975928
-1.297017,0.787441,-0.202181,1.460641,-2.826297,0.68871,-1.206421,-1.55302,0.019181,-0.159593,1.046357,-0.568757,-0.884067,0.370985,-0.409054,1.063183,-0.05522
-1.213694,0.400348,-0.308595,0.24362,0.804906,0.19426,1.011764,0.965125,0.43947,0.495508,0.355344,0.753968,-0.121208,0.389265,-0.706693,0.35087,-0.818925
0.249651,0.1503,0.295465,-0.322352,0.758364,-1.008411,0.841544,-0.401321,0.960448,-0.276759,0.67123,0.745269,0.243277,0.487623,0.508766,-0.421639,-0.260382
-0.592532,-1.162788,-1.581206,0.055786,-1.18662,-1.111456,-0.067626,-1.084696,1.610176,0.495007,0.727099,1.19703,-1.739736,-0.35137,-0.828045,2.802562,0.107514
-1.055758,-0.312237,0.218566,-1.153838,0.817088,-0.514626,0.467305,-0.445705,-1.1678,-0.472706,-0.865424,-1.559259,0.573644,0.616954,-0.742162,-1.055546,-0.948307
0.311675,0.560799,0.847604,0.421212,0.372109,1.697272,0.616508,0.722856,-0.201255,-0.088949,-1.21282,-0.518867,0.311231,-0.347317,0.179886,-2.113895,0.296983
0.876179,-0.272975,-1.738267,-1.551114,-1.236409,-1.993409,-0.360908,-1.95761,-1.076264,-0.069125,0.055352,-0.031812,-0.881891,-1.309352,-0.594546,1.512978,0.584284
-0.486343,0.792633,1.495546,0.929752,0.720214,1.794769,-0.926834,0.559809,3.086162,0.797445,1.028705,1.895484,-0.12969,0.681219,1.251066,0.90357,-0.409265
-2.663413,-1.307077,-1.03194,1.574194,-0.074153,1.157057,0.141814,-1.177096,-0.250278,-0.917815,-1.379841,1.710738,-0.373969,2.480199,0.052828,1.214469,-0.616915
-2.792346,0.684441,-1.138972,0.002303,-2.015338,0.482252,0.404711,-0.615184,0.043435,0.763201,0.664115,0.126239,1.037955,0.398966,0.535608,-0.700365,-1.155302
-0.274538,-0.478426,1.120095,-0.633416,0.469363,0.636455,-1.540461,-1.38795,-0.077871,-0.528317,-0.533028,-0.266308,-0.471331,0.299804,-0.619305,1.356845,-0.200823
1.474275,-1.382639,0.080729,1.12883,-1.332232,-1.164334,-0.344356,-1.821842,-0.188236,-1.88859,0.376961,-0.461058,0.388757,-1.1098,0.809789,0.289636,0.965183
-1.157727,-0.266947,-1.967276,-2.429313,-0.196205,-2.148979,0.433081,-1.186672,0.915583,0.731242,0.952638,0.087059,0.236573,-0.497504,0.371329,0.965681,-0.821241
1.350474,-0.369447,1.227719,-0.488309,-0.087977,1.160706,-0.233531,-0.193132,0.802227,0.402592,-0.6097,0.525997,0.536564,-2.217962,1.223406,-1.200897,0.714122
-1.917086,1.740126,-1.955051,1.572641,-2.621426,0.232804,-0.269852,-1.056518,1.678368,0.670182,2.444121,2.4013,-1.272315,0.058993,0.339063,1.976894,-0.239788
-0.765391,0.857598,0.188891,1.156925,-0.056012,1.185709,-0.471601,-0.044287,-0.482704,-0.991642,0.863265,-0.713536,0.534999,0.615695,-0.323246,0.252369,-0.088736
0.581372,-0.153813,-0.294215,1.609969,-0.241615,0.470551,-1.118263,0.141423,0.093302,-0.446536,0.343517,-0.099714,-0.713452,0.192033,0.479664,0.911094,0.725483
0.132827,0.211246,-1.106614,-1.210276,0.387279,-0.965926,1.052664,0.207362,0.469211,0.668206,-1.346713,0.673124,-1.161305,0.631565,-1.070308,0.057258,-0.074779
-1.183694,-0.631069,-1.758136,-1.346123,-0.311145,-1.076601,1.350481,-0.333909,1.750959,1.510126,-0.635215,1.157024,-1.257291,-0.533776,-0.116753,2.045075,-0.498571
-0.884972,1.620797,-0.593382,1.015511,-0.385972,0.069185,0.333061,0.467504,-0.872416,-0.448932,0.556334,-0.888565,0.773647,0.49103,-0.024892,-2.361139,-0.405555
1.149649,0.480496,0.033141,-0.338164,0.894794,-0.346894,2.089099,0.870864,-0.128445,-0.440799,-1.351305,-0.1172,-0.069439,1.076653,-1.838832,0.15283,0.278783
-1.335389,0.348626,-1.180487,-0.001358,-0.940336,-0.187199,-0.778589,-0.383926,-1.086183,0.568832,0.848029,-0.04355,0.480864,-0.587966,1.492509,-0.833963,-0.401409
-0.633503,-0.111411,-1.26552,-0.078172,-0.991291,-1.89961,-0.264749,0.109844,1.49135,0.633699,2.085518,0.351701,0.218393,-0.667769,0.314985,2.457952,-0.346131
0.830665,-1.910906,1.06842,-1.583378,1.245802,0.202047,-1.648215,-0.291209,1.122984,1.19585,-1.040903,1.264044,-0.431199,-0.826024,1.41268,0.491134,0.262772
-1.753917,-1.377868,-0.513216,-0.382673,1.135937,0.466848,-0.781807,-0.396091,0.323626,0.699349,0.205622,0.981949,0.473453,0.038637,2.649459,0.128021,-0.723054
1.401411,-1.475074,-0.520404,-0.30606,0.360226,-0.412195,0.188093,-0.285941,-2.579785,-1.526402,-1.4886,-1.965043,0.957429,-1.029406,-0.742198,0.323674,0.879022
-0.633627,0.955348,-0.175666,-0.287707,-0.416929,-0.157723,-1.464921,1.555541,1.398973,2.053076,1.446419,-0.043946,0.139286,0.220209,1.145325,-0.152268,-0.483711
0.480764,1.195284,1.027386,0.184478,1.463558,1.292387,0.890528,1.520915,0.288534,0.1938,-1.274639,1.460704,-0.396776,0.915016,-1.82516,-1.696027,0.015822
1.146179,-1.917027,-0.449734,1.217613,-1.663868,-0.997733,-1.866476,-1.990234,0.728785,-1.315173,1.069293,-0.281196,-0.305491,-0.792061,1.253993,1.640529,1.263446
1.682603,-0.842277,0.057122,0.308935,-1.388844,-0.538983,-1.361259,0.456484,-0.251763,-0.294192,0.777333,-0.558613,2.511449,-2.136237,1.385156,-0.327049,1.055717
0.085097,-0.221304,-0.603864,-0.11395,0.691912,-0.489855,0.524263,-0.727699,-0.982165,-1.617366,-0.311512,-1.183712,1.223559,-0.210136,0.640187,-0.629542,0.072131
0.556728,-1.043597,-0.840183,0.439783,-1.316359,-1.112498,-0.419388,-2.776995,-2.189376,-1.058863,-0.146866,1.024085,-1.554058,0.121476,0.369064,0.064026,0.691463
1.549415,-1.721242,0.570372,0.465458,-1.492237,-0.523493,-0.371703,-2.117406,0.849341,-0.882539,-0.954694,-0.217917,-0.773431,-0.900069,1.494788,1.149426,0.999921
-0.133433,-1.045257,-1.106312,-0.021404,1.732051,-1.0644,0.609089,-0.107863,0.510128,-1.068214,0.374653,0.437262,1.349151,0.107782,1.970555,-0.464385,-0.118282
0.857209,0.76841,-0.926117,0.14583,-0.632813,-0.408305,-0.071459,1.704383,-0.343638,0.362887,-0.221957,-0.333927,0.148152,0.083987,-1.450857,0.150641,0.625684
-0.818713,0.547078,-0.497744,0.604329,-0.239007,0.362752,0.46561,-0.424949,0.228512,-0.354749,1.133432,0.740655,-0.30041,0.694967,-0.293155,1.472084,-0.177718
1.351863,0.416089,0.734612,0.329688,-0.188691,0.942526,-0.90806,1.410634,0.480061,1.256511,1.074651,0.544722,-0.243647,-1.894805,0.662116,0.066646,0.891712
-0.764248,0.813903,0.737578,-0.63179,1.77649,1.613585,1.279057,1.393671,-0.628923,0.447753,-1.439636,0.36356,0.503667,0.572263,-0.037736,-2.060323,-0.646281
-0.916856,-0.5137,-0.284735,1.31706,-0.405639,1.269731,-0.769312,-1.0063,1.192226,-0.096762,0.898118,1.910604,-0.530583,0.605542,1.463213,1.457822,0.144696
-0.225975,0.682933,1.102587,1.158071,-0.58509,1.969397,-0.885419,-2.050211,0.0309,-1.088781,0.333017,0.00737,-0.952774,0.984377,0.297233,0.277517,0.221432
-0.217883,1.256061,-0.615694,-1.299064,-0.297975,-0.156888,0.233301,-0.330429,0.37361,1.488164,0.084419,1.56282,-1.194215,-0.576494,0.275466,-0.975059,-0.198581
-0.139399,0.16531,-0.748215,0.541423,0.575632,-0.719598,0.983111,-0.199607,-1.062431,-1.125976,0.483375,-1.109386,0.101056,0.814053,0.469123,-1.053838,-0.08645
-0.171413,-0.545559,-0.081673,0.865096,-0.652601,0.711161,-0.306018,0.413884,2.028901,0.402688,0.916286,1.219635,1.365501,-1.372251,1.942921,0.76314,0.240561
0.558986,-0.226878,-0.347314,0.190086,0.220663,0.547998,-0.643724,0.138561,0.481697,-0.170568,-0.726074,-0.584495,-0.525909,-0.280699,0.139243,0.639352,0.597536
-0.622107,0.911982,-0.763962,0.085372,-2.051848,-0.213479,-1.040263,-0.660158,1.227554,0.662436,2.204526,0.803091,0.222627,-0.230681,-0.078236,1.470305,0.03808
0.349494,0.998178,0.420267,0.216858,0.621523,-1.157269,0.203318,-0.177258,-1.042797,-0.079965,0.208871,-0.89415,-1.81238,1.816415,0.282725,-2.005264,-0.205388
-0.140359,-0.683156,1.504616,1.187159,-1.187741,0.920198,-2.002938,-2.554656,1.041652,-0.547142,1.265896,0.87158,-0.703711,-0.09634,2.352294,0.595107,0.156671
-0.47824,0.194688,0.790934,1.437205,0.492907,2.66495,-0.113049,-0.264169,-1.042977,-0.829567,-0.319874,0.14885,-0.142293,-0.141803,0.341827,-0.109205,0.193606
-1.859799,0.375161,-2.603913,0.742326,0.801298,-0.582083,3.299188,0.824189,-2.054639,-1.96026,-1.294779,0.254378,1.816723,2.257676,-1.663047,-0.787884,-0.654703
0.996857,0.589729,0.982278,0.819757,-0.829784,1.886298,-0.344896,0.2997,-0.216777,-0.199281,-0.203477,0.324417,1.076514,-2.594932,0.693408,-0.984779,0.839321
-0.226003,0.078375,0.548535,-0.202549,0.768271,0.540794,0.154255,-0.052769,1.437338,0.38089,0.436585,0.161247,-0.865,-0.129786,0.069928,0.638473,-0.248334
0.234638,0.477871,1.039487,0.498965,-0.903955,0.955965,-1.746098,-0.739731,1.36123,0.584755,0.808775,0.099176,-0.994459,-0.114531,0.670723,0.609493,0.170227
-1.319616,0.970159,-2.305197,-1.084554,-1.698245,-1.192502,0.378062,-0.954993,-0.839524,-0.156104,0.173713,-0.43359,0.971488,0.185122,-0.632148,-0.229469,-0.40672
1.396639,0.194591,2.25482,-0.29495,1.251499,0.984586,-1.714869,1.317735,0.369265,1.154874,-0.879298,-1.336535,-1.980314,0.176037,-1.085792,0.518824,0.345488
-1.195057,-0.645955,-0.341094,0.989128,-1.162122,1.036427,-0.067563,-0.709773,0.409269,0.232138,-0.042188,1.47913,-0.004336,-0.406106,0.977378,-0.174298,-0.116321
-1.037825,1.474916,0.991171,0.266712,2.584026,0.970061,0.161433,1.794081,0.821748,1.500614,0.369555,1.85852,-0.689912,1.630496,1.778123,-1.802214,-1.018668
0.41734,0.789698,-0.984228,0.663929,0.311016,-1.057288,0.240474,-0.14858,-1.655018,-1.251526,0.939418,-1.026824,0.456788,0.934699,0.806012,-0.479148,0.19864
0.017782,-0.581393,-0.571875,-0.815371,0.794307,-1.499459,1.095825,-0.403123,-0.147094,-0.800174,-0.496274,-1.128196,0.334557,0.267038,-0.372599,-0.983532,-0.304333
0.86568,0.567755,2.448636,-1.058935,0.824723,1.50584,-2.070621,1.3475,1.293905,1.804653,0.482972,-0.34816,0.061354,-0.928931,0.430661,0.313623,-0.033239
-0.136629,-1.342459,0.490872,0.088249,-0.501467,0.136967,0.373117,-1.805799,0.1437,-0.829664,-1.465179,1.317374,-0.327639,0.032837,0.216391,-0.322347,0.025772
-0.592785,-0.24253,-0.670403,-0.996874,-0.293505,-0.697717,-0.35343,0.430503,0.713409,1.30665,-0.139464,0.274031,-0.582626,-0.966981,-0.193383,0.553567,-0.372162
